title,publication_year,cited_by_count,journal,type,primary_topic,keywords,doi
Industrial Organic Chemistry,2003,1291,,book,,"['Chemistry', 'Environmental chemistry', 'Biochemical engineering', 'Engineering']",https://doi.org/10.1002/9783527619191
Mechanism and theory in Organic chemistry,1977,1440,Biochemical Education,article,,"['Chemistry', 'Mechanism (biology)', 'Environmental chemistry', 'Computational chemistry', 'Epistemology', 'Philosophy']",https://doi.org/10.1016/0307-4412(77)90040-1
Biotransformations in Organic Chemistry,2000,1279,,book,,"['Natural (archaeology)', 'Organic chemistry', 'Chemistry', 'Catalysis', 'Environmental chemistry', 'Transformation (genetics)', 'Biochemical engineering', 'History', 'Biochemistry', 'Engineering', 'Archaeology']",https://doi.org/10.1007/978-3-642-98071-8
Basic principles of organic chemistry,1965,995,Andalas University Repository (Andalas University),article,,"['Chemistry', 'Biochemical engineering', 'Environmental chemistry', 'Polymer science', 'Engineering']",
Fluorine in Organic Chemistry,2004,1085,,book,,"['Chemistry', 'Fluorine', 'Environmental chemistry', 'Polymer science', 'Organic chemistry']",https://doi.org/10.1002/9781444305371
Sequential Transformations in Organic Chemistry: A Synthetic Strategy with a Future,1993,1374,Angewandte Chemie International Edition in English,article,,"['Chemist', 'Creativity', 'Synthetic biology', 'Organic synthesis', 'Chemistry', 'Chemical synthesis', 'Biochemical engineering', 'Organic chemistry', 'Engineering ethics', 'Engineering', 'Psychology', 'Biology', 'Computational biology', 'Biochemistry']",https://doi.org/10.1002/anie.199301313
Practical Organic Chemistry,1925,826,Nature,article,,"['Feature (linguistics)', 'Field (mathematics)', 'Chemistry', 'Computer science', 'Philosophy', 'Mathematics', 'Linguistics']",https://doi.org/10.1038/115189e0
Organic electrosynthesis: a promising green methodology in organic chemistry,2010,1269,Green Chemistry,article,,"['Electrosynthesis', 'Green chemistry', 'Environmentally friendly', 'Organic synthesis', 'Oxidizing agent', 'Ionic liquid', 'Electrochemistry', 'Chemistry', 'Nanotechnology', 'Biochemical engineering', 'Reagent', 'Hazardous waste', 'Combinatorial chemistry', 'Organic chemistry', 'Materials science', 'Catalysis', 'Waste management', 'Electrode']",https://doi.org/10.1039/c0gc00382d
Technique of organic chemistry,1970,983,Journal of Molecular Structure,article,,"['Chemistry', 'Environmental chemistry']",https://doi.org/10.1016/0022-2860(70)85014-1
Advances in Organic Chemistry,1965,769,Nature,article,,"['Philosophy', 'Chemistry', 'Polymer science']",https://doi.org/10.1038/205118a0
Building Bridges Between Inorganic and Organic Chemistry (Nobel Lecture),1982,1299,Angewandte Chemie International Edition in English,article,,"['Craft', 'Chemistry', 'Engineering physics', 'Nanotechnology', 'Engineering', 'Materials science', 'Art', 'Visual arts']",https://doi.org/10.1002/anie.198207113
STERIC EFFECTS IN ORGANIC CHEMISTRY,1962,1078,Elsevier eBooks,book-chapter,,"['Steric effects', 'Chemistry', 'Organic chemistry']",https://doi.org/10.1016/b978-0-08-009654-4.50122-9
Structure and Mechanism in Organic Chemistry,1970,1051,Journal of Organometallic Chemistry,article,,"['Chemistry', 'Mechanism (biology)', 'Computational chemistry', 'Organic chemistry', 'Epistemology']",https://doi.org/10.1016/s0022-328x(00)87734-7
Mechanism and Theory in Organic Chemistry,1976,842,Andalas University Repository (Andalas University),article,,"['Pericyclic reaction', 'Chemistry', 'Carbanion', 'Intramolecular force', 'Electrophile', 'Substitution reaction', 'Electrophilic substitution', 'Nucleophile', 'Organic reaction', 'Electrophilic addition', 'Nucleophilic substitution', 'Computational chemistry', 'Cationic polymerization', 'Reaction mechanism', 'Addition reaction', 'Organic chemistry']",
Environmental organic chemistry,1994,907,Journal of Contaminant Hydrology,article,,"['Metabolite', 'Odds ratio', 'Urine', 'Physiology', 'Menarche', 'Urinary system', 'Pubic hair', 'Medicine', 'Toxicology', 'Chemistry', 'Internal medicine', 'Biology']",https://doi.org/10.1016/0169-7722(94)90027-2
Steric effects in organic chemistry,1957,1016,Journal of Colloid Science,article,,"['Steric effects', 'Chemistry', 'Organic chemistry', 'Computational chemistry']",https://doi.org/10.1016/0095-8522(57)90043-0
Asymmetric Aminocatalysis—Gold Rush in Organic Chemistry,2008,1255,Angewandte Chemie International Edition,article,,"['Enantioselective synthesis', 'Gold rush', 'Nanotechnology', 'Chemistry', 'Pace', 'Combinatorial chemistry', 'Organic chemistry', 'Catalysis', 'Materials science', 'Physics']",https://doi.org/10.1002/anie.200705523
High-Resolution NMR Techniques in Organic Chemistry,2016,957,Elsevier eBooks,book,,"['Chemistry', 'Resolution (logic)', 'High resolution', 'Computer science', 'Remote sensing', 'Geology', 'Artificial intelligence']",https://doi.org/10.1016/c2015-0-04654-8
Applications of Nuclear Magnetic Resonance Spectroscopy in Organic Chemistry,1969,1382,Elsevier eBooks,book,,"['Spectroscopy', 'Nuclear magnetic resonance spectroscopy', 'Nuclear magnetic resonance', 'Chemistry', 'Materials science', 'Chemical physics', 'Physics']",https://doi.org/10.1016/c2013-0-10036-0
Olefin Metathesis in Organic Chemistry,1997,902,Angewandte Chemie International Edition in English,article,,"['Metathesis', 'Olefin metathesis', 'Acyclic diene metathesis', 'Chemistry', 'Salt metathesis reaction', 'Organic synthesis', 'Ring-opening metathesis polymerisation', 'Catalysis', 'Organic chemistry', 'Steric effects', 'Olefin fiber', 'Combinatorial chemistry', 'Polymer', 'Polymerization']",https://doi.org/10.1002/anie.199720361
Stereoelectronic effects in organic chemistry,1984,968,Endeavour,article,,"['Hypervalent molecule', 'Cyanation', 'Chemistry', 'Substituent', 'Iodine', 'Catalysis', 'Metal', 'Organic chemistry', 'Medicinal chemistry', 'Combinatorial chemistry']",https://doi.org/10.1016/0160-9327(84)90134-0
Oxidation in organic chemistry,1965,838,,other,,"['Chemistry', 'Environmental chemistry', 'Organic chemistry']",
Glossary of terms used in physical organic chemistry (IUPAC Recommendations 1994),1994,1553,Pure and Applied Chemistry,article,,"['Chemistry', 'Chemical nomenclature', 'Glossary', 'Environmental chemistry', 'Organic chemistry', 'Linguistics']",https://doi.org/10.1351/pac199466051077
The effects of instructors' autonomy support and students' autonomous motivation on learning organic chemistry: A self-determination theory perspective,2000,1904,Science Education,article,,"['Autonomy', 'Psychology', 'Competence (human resources)', 'Self-determination theory', 'Perception', 'Anxiety', 'Social psychology', 'Autonomous learning', 'Perspective (graphical)', 'Mathematics education', 'Political science']",https://doi.org/10.1002/1098-237x(200011)84:6<740::aid-sce4>3.0.co;2-3
Electron Transfer Reactions in Organic Chemistry,1987,811,Reactivity and structure,book,,"['Electron transfer', 'Chemistry', 'Organic reaction', 'Subject (documents)', 'Marcus theory', 'Computational chemistry', 'Chemical physics', 'Organic chemistry', 'Computer science', 'Physics', 'Catalysis', 'Kinetics', 'Quantum mechanics']",https://doi.org/10.1007/978-3-642-72544-9
Comprehensive organic chemistry,1978,818,Tetrahedron,article,,"['Chemistry', 'Organic chemistry', 'Computational chemistry', 'Combinatorial chemistry']",https://doi.org/10.1016/s0040-4020(78)80003-9
Advanced Organic Chemistry,1995,779,,book,,"['Chemistry', 'Environmental chemistry']",https://doi.org/10.1007/978-1-4613-9792-2
The Organic Chemistry of Museum Objects,1988,694,Studies in Conservation,article,,"['Chemistry', 'Art', 'Polymer science', 'Environmental chemistry', 'Astrobiology', 'Visual arts', 'Physics']",https://doi.org/10.2307/1506308
The Molecular Orbital Theory of Organic Chemistry,1970,971,Journal of Pharmaceutical Sciences,article,,"['Molecular orbital theory', 'Chemistry', 'Computational chemistry', 'Molecular orbital', 'Organic chemistry', 'Molecule']",https://doi.org/10.1002/jps.2600590341
Hydrogen bonds as design elements in organic chemistry,1991,1095,The Journal of Physical Chemistry,article,,"['Citation', 'Icon', 'Computer science', 'Social media', 'Information retrieval', 'World Wide Web', 'Library science']",https://doi.org/10.1021/j100165a007
The PMO Theory of Organic Chemistry,1975,637,,book,,"['Chemistry', 'Physical organic chemistry', 'Computational chemistry', 'Physical chemistry']",https://doi.org/10.1007/978-1-4613-4404-9
Organic Chemistry of Explosives,2006,620,,book,,"['Explosive material', 'Chemistry', 'Polymer science', 'Organic chemistry']",https://doi.org/10.1002/9780470059364
Advanced Organic Chemistry,2002,629,Kluwer Academic Publishers eBooks,book,,"['Tribute', 'Task (project management)', 'History', 'Chemistry', 'Classics', 'Art history', 'Environmental ethics', 'Library science', 'Computer science', 'Engineering', 'Philosophy']",https://doi.org/10.1007/b114222
"Lanthanides in organic chemistry. 1. Selective 1,2 reductions of conjugated ketones",1978,1179,Journal of the American Chemical Society,article,,"['Citation', 'Altmetrics', 'Icon', 'Social media', 'Computer science', 'Information retrieval', 'Library science', 'Chemistry', 'World Wide Web']",https://doi.org/10.1021/ja00475a040
The molecular orbital theory of organic chemistry,1969,930,McGraw-Hill eBooks,book,,"['Molecular orbital theory', 'Molecular orbital', 'Chemistry', 'Computational chemistry', 'Astrobiology', 'Organic chemistry', 'Physics', 'Molecule']",
Oxidation and Antioxidants in Organic Chemistry and Biology,2005,711,,reference-entry,,"['Chemistry', 'Environmental chemistry']",https://doi.org/10.1201/9781420030853
The Chemistry of Organic Silicon Compounds,1989,2746,,book,,"['Organosilicon', 'Hydrosilylation', 'Chemistry', 'Silicon', 'Silylation', 'Organic chemistry', 'Silanes', 'Silane', 'Catalysis']",https://doi.org/10.1002/0470025107
Applications of the Conceptual Density Functional Theory Indices to Organic Chemistry Reactivity,2016,1323,Molecules,article,,"['Reactivity (psychology)', 'Nucleophile', 'Electrophile', 'Density functional theory', 'Chemistry', 'Computational chemistry', 'Organic chemistry', 'Catalysis']",https://doi.org/10.3390/molecules21060748
Oxidations in Organic Chemistry,1991,709,Analytical Chemistry,article,,"['Altmetrics', 'Citation', 'Icon', 'Social media', 'Computer science', 'Information retrieval', 'World Wide Web', 'Library science']",https://doi.org/10.1021/ac00017a724
Organic chemistry of coke formation,2001,806,Applied Catalysis A General,article,,"['Coke', 'Chemistry', 'Bifunctional', 'Dehydrogenation', 'Catalysis', 'Microporous material', 'Inorganic chemistry', 'Organic chemistry', 'Steric effects', 'Condensation', 'Chemical engineering', 'Photochemistry', 'Thermodynamics']",https://doi.org/10.1016/s0926-860x(00)00845-0
Noncovalent Synthesis: Using Physical-Organic Chemistry To Make Aggregates,1995,1034,Accounts of Chemical Research,article,,"['Altmetrics', 'Citation', 'Computer science', 'Icon', 'Social media', 'Library science', 'Information retrieval', 'World Wide Web']",https://doi.org/10.1021/ar00049a006
Organic Chemistry on Solid Supports,1996,648,Angewandte Chemie International Edition in English,article,,"['Combinatorial chemistry', 'Solid-phase synthesis', 'Organic synthesis', 'Peptide synthesis', 'Chemistry', 'Oligomer', 'Combinatorial synthesis', 'Nucleic acid', 'Peptide', 'Nanotechnology', 'Organic chemistry', 'Materials science', 'Biochemistry']",https://doi.org/10.1002/anie.199600171
Steric Effects in Organic Chemistry.,1957,780,Journal of the American Chemical Society,article,,"['Chemistry', 'Steric effects', 'Organic chemistry', 'Computational chemistry']",https://doi.org/10.1021/ja01561a080
The Concept of Strain in Organic Chemistry,1986,744,Angewandte Chemie International Edition in English,article,,"['Ring strain', 'Chemistry', 'Humanities', 'Ring (chemistry)', 'Stereochemistry', 'Philosophy']",https://doi.org/10.1002/anie.198603121
Oxidation in Organic Chemistry,1965,677,Angewandte Chemie International Edition in English,article,,"['Citation', 'Computer science', 'Library science', 'Chemistry', 'Information retrieval']",https://doi.org/10.1002/anie.196508851
Organic Chemistry of Sulfur,1977,605,,book,,"['Sulfur', 'Chemistry', 'Pace', 'Reflection (computer programming)', 'Environmental chemistry', 'Nanotechnology', 'Organic chemistry', 'Materials science', 'Physics', 'Computer science']",https://doi.org/10.1007/978-1-4684-2049-4
The Organosulfur Chemistry of the Genus Allium – Implications for the Organic Chemistry of Sulfur,1992,995,Angewandte Chemie International Edition in English,article,,"['Organosulfur compounds', 'Chemistry', 'Allium sativum', 'Allicin', 'Allium', 'Sulfoxide', 'Organic chemistry', 'Sulfenic acid', 'Sulfur', 'Stereochemistry', 'Cysteine', 'Botany']",https://doi.org/10.1002/anie.199211351
Ultrasound in synthetic organic chemistry,1997,753,Chemical Society Reviews,article,,"['Sonochemistry', 'Ultrasound', 'Cavitation', 'Chemistry', 'Organic synthesis', 'Nanotechnology', 'Biochemical engineering', 'Process engineering', 'Materials science', 'Organic chemistry', 'Catalysis', 'Acoustics', 'Engineering', 'Physics']",https://doi.org/10.1039/cs9972600443
ENZYMES IN SYNTHETIC ORGANIC CHEMISTRY,2010,747,,book-chapter,,"['Chemistry', 'Enzyme', 'Biochemistry', 'Organic chemistry']",https://doi.org/10.1201/b10501-101
Structure and Mechanism in Organic Chemistry,1954,735,Chemical Engineering Science,article,,"['Mechanism (biology)', 'Chemistry', 'Biochemical engineering', 'Engineering', 'Epistemology', 'Philosophy']",https://doi.org/10.1016/0009-2509(54)85019-6
Microwave-Accelerated Homogeneous Catalysis in Organic Chemistry,2002,724,Accounts of Chemical Research,article,,"['Homogeneous', 'Catalysis', 'Chemistry', 'Microwave', 'Flash (photography)', 'Homogeneous catalysis', 'Microwave heating', 'Microwave chemistry', 'Green chemistry', 'Combinatorial chemistry', 'Nanotechnology', 'Organic chemistry', 'Biochemical engineering', 'Reaction mechanism', 'Microwave irradiation', 'Materials science', 'Thermodynamics', 'Physics']",https://doi.org/10.1021/ar010074v
Oxidations in Organic Chemistry,1991,635,Analytical Chemistry,article,,"['Altmetrics', 'Citation', 'Icon', 'Social media', 'Computer science', 'Information retrieval', 'World Wide Web', 'Library science']",https://doi.org/10.1021/ac00018a728
"Biocatalysis in Organic Chemistry and Biotechnology: Past, Present, and Future",2013,770,Journal of the American Chemical Society,article,,"['Chemistry', 'Scope (computer science)', 'Biochemical engineering', 'Biocatalysis', 'Synthetic biology', 'Organic synthesis', 'Nanotechnology', 'Biotechnology', 'Management science', 'Engineering ethics', 'Organic chemistry', 'Computational biology', 'Catalysis', 'Computer science', 'Engineering', 'Biology', 'Reaction mechanism']",https://doi.org/10.1021/ja405051f
The Organic Chemistry of Drug Synthesis,2007,530,,book,,"['Drug', 'Chemistry', 'Combinatorial chemistry', 'Environmental chemistry', 'Organic chemistry', 'Pharmacology', 'Medicine']",https://doi.org/10.1002/9780470180679
The specification of asymmetric configuration in organic chemistry,1956,799,Cellular and Molecular Life Sciences,article,,"['Chemistry', 'Humanities', 'Stereochemistry', 'Philosophy']",https://doi.org/10.1007/bf02157171
Absolute electronegativity and hardness: applications to organic chemistry,1989,884,The Journal of Organic Chemistry,article,,"['Electronegativity', 'Icon', 'Altmetrics', 'Citation', 'Social media', 'Computer science', 'World Wide Web', 'Chemistry']",https://doi.org/10.1021/jo00267a034
Iron Catalysis in Organic Chemistry,2008,511,,book,,"['Chemistry', 'Catalysis', 'Environmental chemistry', 'Organic chemistry', 'Nanotechnology', 'Combinatorial chemistry', 'Materials science']",https://doi.org/10.1002/9783527623273
Biotransformations in Organic Chemistry,2011,479,,book,,"['Chemistry', 'Environmental chemistry', 'Biochemical engineering', 'Engineering']",https://doi.org/10.1007/978-3-642-17393-6
The Organic Chemistry of Drug Design and Drug Action,1992,717,Elsevier eBooks,book,,"['Drug', 'Drug action', 'Chemistry', 'Action (physics)', 'Pharmacology', 'Medicine', 'Physics']",https://doi.org/10.1016/c2009-0-22221-5
Advanced Organic Chemistry,1961,466,Nature,article,,['Chemistry'],https://doi.org/10.1038/192835b0
A guidebook to mechanism in organic chemistry,1962,673,UCLA - Biblioteca de Ciencias de la Salud,article,,"['Carbocation', 'Chemistry', 'Carbanion', 'Nucleophile', 'Electrophile', 'Substitution reaction', 'Reactivity (psychology)', 'Nucleophilic substitution', 'Radical', 'Electrophilic substitution', 'Computational chemistry', 'Reaction mechanism', 'Electrophilic addition', 'Medicinal chemistry', 'Photochemistry', 'Organic chemistry', 'Catalysis']",
Developments in Microwave-Assisted Organic Chemistry,1995,596,Australian Journal of Chemistry,article,,"['Green chemistry', 'Microwave heating', 'Chemistry', 'Microwave', 'Organic synthesis', 'Context (archaeology)', 'Biocatalysis', 'Process engineering', 'Microwave chemistry', 'Organic chemistry', 'Chemical engineering', 'Nanotechnology', 'Ionic liquid', 'Catalysis', 'Microwave irradiation', 'Materials science', 'Computer science', 'Engineering']",https://doi.org/10.1071/ch9951665
Systematic analysis of structural data as a research technique in organic chemistry,1983,1039,Accounts of Chemical Research,article,,['Chemistry'],https://doi.org/10.1021/ar00089a001
Biotransformations in Organic Chemistry,2004,584,,book,,"['Transformation (genetics)', 'Natural (archaeology)', 'Chemistry', 'Organic chemistry', 'Catalysis', 'Environmental chemistry', 'Polymer science', 'Biology', 'Biochemistry', 'Paleontology']",https://doi.org/10.1007/978-3-642-18537-3
Organic Chemistry: Structure and Function,1987,603,,article,,"['Chemistry', 'Claisen condensation', 'Organic chemistry', 'Electrophilic aromatic substitution', 'Electrophilic substitution', 'Reactivity (psychology)', 'Electrophile', 'Substitution reaction', 'Aromaticity', 'Regioselectivity', 'Molecule', 'Catalysis']",
Introduction to spectroscopy : a guide for students of organic chemistry,1996,814,Harcourt Brace College Publishers eBooks,book,,"['Spectroscopy', 'Nuclear magnetic resonance spectroscopy', 'Heteronuclear molecule', 'Nuclear magnetic resonance', 'Instrumental chemistry', 'Chemistry', 'Two-dimensional nuclear magnetic resonance spectroscopy', 'Mass spectrometry', 'Infrared spectroscopy', 'Analytical Chemistry (journal)', 'Time-resolved spectroscopy', 'Physics', 'Organic chemistry']",
Physical Organic Chemistry,2002,552,Chemistry International,article,,"['Chemistry', 'Environmental chemistry', 'Polymer science', 'Industrial chemistry', 'Chemical engineering', 'Biochemical engineering', 'Engineering']",https://doi.org/10.1515/ci.2002.24.6.32
Spectroscopic Methods in Organic Chemistry,2008,626,,book-chapter,,"['Chemistry', 'Analytical Chemistry (journal)', 'Electrospray ionization', 'Atmospheric-pressure chemical ionization', 'Two-dimensional nuclear magnetic resonance spectroscopy', 'Spectroscopy', 'Nuclear magnetic resonance spectroscopy', 'Fluorine-19 NMR', 'Fourier transform ion cyclotron resonance', 'Mass spectrometry', 'Ionization', 'Chemical ionization', 'Stereochemistry', 'Ion', 'Organic chemistry', 'Chromatography']",https://doi.org/10.1055/b-0035-108183
Recent Contributions from the Baylis−Hillman Reaction to Organic Chemistry,2010,891,Chemical Reviews,review,,"['Notice', 'Citation', 'Computer science', 'Library science', 'World Wide Web', 'Information retrieval', 'Chemistry', 'Political science']",https://doi.org/10.1021/cr900291g
Dipole Moments in Organic Chemistry,1970,480,,book,,"['Dipole', 'Chemistry', 'Computational chemistry', 'Series (stratigraphy)', 'Chemical physics', 'Engineering physics', 'Organic chemistry', 'Physics', 'Biology', 'Paleontology']",https://doi.org/10.1007/978-1-4684-1770-8
Polarity-reversal catalysis of hydrogen-atom abstraction reactions: concepts and applications in organic chemistry,1999,961,Chemical Society Reviews,article,,"['Electrophile', 'Chemistry', 'Radical', 'Polarity (international relations)', 'Hydrogen atom abstraction', 'Catalysis', 'Polar', 'Hydrogen atom', 'Photochemistry', 'Abstraction', 'Hydrogen', 'Chemical polarity', 'Computational chemistry', 'Combinatorial chemistry', 'Chemical physics', 'Organic chemistry', 'Molecule', 'Alkyl']",https://doi.org/10.1039/a804291h
Microwave dielectric heating in synthetic organic chemistry,2008,769,Chemical Society Reviews,review,,"['Microwave heating', 'Microwave', 'Process engineering', 'Chemistry', 'Organic synthesis', 'Nanotechnology', 'Dielectric', 'Microwave chemistry', 'Dielectric heating', 'Biochemical engineering', 'Organic chemistry', 'Microwave irradiation', 'Materials science', 'Computer science', 'Telecommunications', 'Optoelectronics', 'Engineering', 'Catalysis']",https://doi.org/10.1039/b803001b
Comprehensive organic chemistry,1979,539,Journal of Quantitative Spectroscopy and Radiative Transfer,article,,"['Environmental chemistry', 'Chemistry']",https://doi.org/10.1016/0022-4073(79)90030-x
Using Physical Organic Chemistry To Shape the Course of Electrochemical Reactions,2018,724,Chemical Reviews,review,,"['Chemistry', 'Electrochemistry', 'Course (navigation)', 'Nanotechnology', 'Physical chemistry', 'Aerospace engineering', 'Electrode']",https://doi.org/10.1021/acs.chemrev.7b00656
Advanced Organic Chemistry,2007,408,,book,,"['Reactivity (psychology)', 'Field (mathematics)', 'Chemistry', 'Nanotechnology', 'Environmental chemistry', 'Organic chemistry', 'Materials science', 'Mathematics', 'Medicine']",https://doi.org/10.1007/978-0-387-44899-2
Mechanism and Structure in Organic Chemistry.,1960,595,Journal of the American Chemical Society,article,,"['Chemistry', 'Mechanism (biology)', 'Computational chemistry', 'Epistemology']",https://doi.org/10.1021/ja01500a085
Multicomponent reactions in organic chemistry,1994,595,Endeavour,article,,"['Chemistry', 'Sequence (biology)', 'Biochemical engineering', 'Organic chemistry', 'Combinatorial chemistry', 'Nanotechnology', 'Materials science', 'Engineering']",https://doi.org/10.1016/s0160-9327(05)80086-9
Stereoelectronic effects in organic chemistry,1983,593,Medical Entomology and Zoology,book,,"['Chemistry', 'Computational chemistry', 'Environmental chemistry', 'Organic chemistry']",
Progress in Physical Organic Chemistry,1976,467,Progress in physical organic chemistry,book,,"['Chemistry', 'Physical organic chemistry', 'Environmental chemistry', 'Organic chemistry']",https://doi.org/10.1002/9780470171912
Ozonation in Organic Chemistry,1982,512,Elsevier eBooks,book,,"['Chemistry', 'Environmental chemistry', 'Polymer science']",https://doi.org/10.1016/b978-0-12-073102-2.x5001-0
Application of the Principle of Hard and Soft Acids and Bases to Organic Chemistry,1967,907,Journal of the American Chemical Society,article,,"['Chemistry', 'Organic chemistry']",https://doi.org/10.1021/ja00984a014
