title,publication_year,cited_by_count,journal,type,primary_topic,keywords,doi
"SEVENTY YEARS OF THE BRAZILIAN FEDERAL COUNCIL OF CHEMISTRY (1956–2026): INSTITUTIONAL TRAJECTORY, PRESIDENCIES, AND PERSPECTIVES FOR THE CHEMISTRY PROFESSION - EN",2026,0,SOUTHERN JOURNAL OF SCIENCES,article,Chemistry and Chemical Engineering,"['Interim', 'Milestone', 'Normative', 'Presidency', 'Audit', 'Blueprint', 'Thursday']",https://doi.org/10.48141/2764-5959.01.v34.n41.2026_05_deboni_pgs_52_64.pdf
Aqueous Photochemistry of Pyruvic Acid: H2O2 Formation and Enhanced SO2-to-Sulfate Conversion,2026,0,ACS ES&T Air,article,Atmospheric chemistry and aerosols,"['Aqueous solution', 'Oxidizing agent', 'Photodissociation', 'Sulfate', 'Atmospheric oxygen', 'Ultraviolet', 'Aerosol', 'Atmospheric chemistry']",https://doi.org/10.1021/acsestair.6c00239
A Laboratory Study on the Influence of Steel Slag and Potassium Chloride on Improving the Properties of an Expansive Soil for the Foundation Bed,2026,0,International Journal for Research in Applied Science and Engineering Technology,article,Concrete and Cement Materials Research,"['Atterberg limits', 'Expansive clay', 'Swell', 'Slag (welding)', 'Compaction', 'Foundation (evidence)', 'Compressive strength', 'Expansive']",https://doi.org/10.22214/ijraset.2026.84879
"SLEEP—Stable, Low-energy, Environmentally Equilibrating Polymers: A Proposed Discovery-First Experimental Research Programme on Conformational Resilience in Prebiotic Chemistry",2026,0,Zenodo (CERN European Organization for Nuclear Research),article,Origins and Evolution of Life,"['Intuition', 'Function (biology)', 'Experimental research', 'Psychological resilience', 'Lead (geology)', 'Resilience (materials science)', 'Environmental effect', 'Research program', 'Environmental change']",https://doi.org/10.5281/zenodo.22822310
"SLEEP—Stable, Low-energy, Environmentally Equilibrating Polymers: A Proposed Discovery-First Experimental Research Programme on Conformational Resilience in Prebiotic Chemistry",2026,0,Zenodo (CERN European Organization for Nuclear Research),article,Origins and Evolution of Life,"['Intuition', 'Function (biology)', 'Experimental research', 'Psychological resilience', 'Lead (geology)', 'Resilience (materials science)', 'Environmental effect', 'Research program', 'Environmental change']",https://doi.org/10.5281/zenodo.22822311
DEVELOPING STUDENTS' PROFESSIONAL COMPETENCIES BASED ON AN INTEGRATIVE APPROACH TO TEACHING HETEROCYCLIC COMPOUNDS OF PHARMACEUTICAL IMPORTANCE,2026,0,Zenodo (CERN European Organization for Nuclear Research),article,Innovative Teaching Methods,"['Pharmaceutical industry', 'Professional development', 'Chemist', 'Higher education', 'Pharmacy education', 'Teaching method']",https://doi.org/10.5281/zenodo.22822356
DEVELOPING STUDENTS' PROFESSIONAL COMPETENCIES BASED ON AN INTEGRATIVE APPROACH TO TEACHING HETEROCYCLIC COMPOUNDS OF PHARMACEUTICAL IMPORTANCE,2026,0,Zenodo (CERN European Organization for Nuclear Research),article,Innovative Teaching Methods,"['Pharmaceutical industry', 'Professional development', 'Chemist', 'Higher education', 'Pharmacy education', 'Teaching method']",https://doi.org/10.5281/zenodo.22822355
Review on a potential multipurpose plant: Euphorbia tirucalli L.,2026,0,International Journal of Drug Delivery Technology,article,Bioactive Natural Diterpenoids Research,"['Ethnobotany', 'Identification (biology)', 'Medicinal plants', 'Euphorbiaceae']",https://doi.org/10.25258/ijddt.16.83s.147
Diisopropyl Ethyl Ammonium Acetate (DIPEAc) promoted facile and green synthesis of Xanthene derivatives under microwave irradiation,2026,0,International Journal of Drug Delivery Technology,article,Microwave-Assisted Synthesis and Applications,"['Xanthene', 'Microwave irradiation', 'Ammonium acetate', 'Catalysis', 'Transesterification', 'Chemical synthesis']",https://doi.org/10.25258/ijddt.16.83s.177
A Study on the Utilization of Cooked Rice Waste for Bio-Based Polymer Materials in Sustainable Applications,2026,0,International Journal of Drug Delivery Technology,article,Natural Fiber Reinforced Composites,"['Raw material', 'Polymer', 'Sustainability', 'Production (economics)']",https://doi.org/10.25258/ijddt.16.83s.138
Design and Development of Automated Smart Waste Bin for Smart City Development in Nigeria,2026,0,International Journal of Computer Applications,article,Municipal Solid Waste Management,"['Bin', 'Smart city', 'Garbage', 'Waste collection', 'Municipal solid waste', 'Solid waste management', 'Microcontroller', 'Global Positioning System']",https://doi.org/10.5120/ijcaca02da1c63de
«ЗЕЛЕНА» ТА ПРОСТА МІКРОЕКСТРАКЦІЯ ОРГАНІЧНИХ БАРВНИКІВ ЗА ДОПОМОГОЮ ГІДРОФОБНОГО ГЛИБОКОГО ЕВТЕКТИЧНОГО РОЗЧИННИКА ЯК ФУНКЦІОНАЛЬНОГО МАТЕРІАЛУ,2026,0,Scientific periodicals of Ukraine,article,Analytical chemistry methods development,"['Extraction (chemistry)', 'Deep eutectic solvent', 'Environmentally friendly', 'Solvent', 'Sample preparation', 'Aqueous solution', 'Thymol', 'Solvatochromism']",
Tuning the Optoelectronic Properties of Wide Bandgap Perovskites: Data‐Driven Insights from Combinatorial Synthesis and High‐Throughput Experimentation,2026,0,Advanced Functional Materials,article,Perovskite Materials and Applications,"['Workflow', 'Benchmark (surveying)', 'Band gap', 'Combinatorial synthesis', 'Characterization (materials science)', 'Chemical vapor deposition', 'Halide', 'Deposition (geology)']",https://doi.org/10.1002/adfm.77319
Aromatic Molecular Emitters in a Hexagonal Boron Nitride Stack,2026,0,Nano Letters,article,Graphene research and applications,"['van der Waals force', 'Perylene', 'Molecule', 'Hexagonal boron nitride', 'Stack (abstract data type)', 'Boron nitride', 'Boron', 'Van der Waals surface']",https://doi.org/10.1021/acs.nanolett.6c01870
Collisional excitation of cyclopentadiene by helium. A complete set of rate coefficients and astrophysical applications,2026,0,Astronomy and Astrophysics,article,Astrophysics and Star Formation Studies,"['Radiative transfer', 'Thermalisation', 'Excitation', 'Mean kinetic temperature', 'Kinetic energy', 'Cyclopentadiene', 'Rotational energy', 'Atmospheric radiative transfer codes', 'Thermal equilibrium', 'Molecular beam']",https://doi.org/10.1051/0004-6361/202662015
Recent perspectives on natural Fiber-based materials for sustainable packaging- review,2026,0,Results in Chemistry,article,Nanocomposite Films for Food Packaging,"['Natural (archaeology)', 'Sustainability', 'Sustainable development', 'Natural resource']",https://doi.org/10.1016/j.rechem.2026.103869
Airborne microplastic exposure and urinary oxidative damage biomarkers in populations living in traffic-congested areas,2026,0,Journal of Hazardous Materials Advances,article,Microplastics and Plastic Pollution,"['Urinary system', 'Oxidative damage', 'Air pollutants', 'Population']",https://doi.org/10.1016/j.hazadv.2026.101571
"Optimizing the rheology, microstructure and carbon sequestering performance of alkali activated material incorporating acetic acid modified fly ash",2026,0,Materials Reports Solidwaste and Ecomaterials,article,CO2 Sequestration and Geologic Interactions,"['Reactivity (psychology)', 'Acetic acid', 'Rheology', 'Carbon sequestration', 'Fly ash', 'Carbon fibers', 'Slurry', 'Alkali metal']",https://doi.org/10.26599/mrse.2026.9520035
Multi-omics and machine learning reveal the mechanisms underlying cultivar-driven flavor differentiation in fermented ciba chili,2026,0,Food Chemistry X,article,Fermentation and Sensory Analysis,"['Flavor', 'Fermentation', 'Fermentation in food processing', 'Support vector machine']",https://doi.org/10.1016/j.fochx.2026.104449
Mesoscale Hybridization Strategy for Organic Supramolecular Assemblies and Inorganic Semiconductor Nanocrystals,2026,0,Chemistry Letters,article,Luminescence and Fluorescent Materials,"['Mesoscale meteorology', 'Supramolecular chemistry', 'Nanocrystal', 'Nanomaterials', 'Semiconductor', 'Polymer', 'Surface modification']",https://doi.org/10.1093/chemle/upag186
Metal(loid)s in maize grains and health risks: A review,2026,0,Next Sustainability,article,Heavy metals in environment,"['Zea mays', 'Agriculture', 'Productivity', 'Population', 'Quality (philosophy)']",https://doi.org/10.1016/j.nxsust.2026.100501
Microecological succession and quality enhancement of fermented tomato sour soup by synthetic functional microbiota,2026,0,Food Chemistry X,article,Microbial Inactivation Methods,"['Ecological succession', 'Fermentation', 'Quality (philosophy)', 'Bacteria', 'Fermentation in food processing']",https://doi.org/10.1016/j.fochx.2026.104484
"Synthesis, characterization, antibacterial evaluation, molecular docking, and DFT analysis of biphenyl-based Bis(tetrazoline) and Bis(imidazolidin-4-one) derivatives",2026,0,Results in Chemistry,article,Synthesis of Tetrazole Derivatives,"['Yield (engineering)', 'Density functional theory', 'Sequence (biology)', 'Molecule']",https://doi.org/10.1016/j.rechem.2026.103867
Climate Risk and Firms' Shadow Relocation: Evidence From China,2026,0,Sustainable Development,article,Labor market dynamics and wage inequality,"['Climate risk', 'Shadow (psychology)', 'Climate change', 'Agency (philosophy)', 'Retrenchment', 'China', 'Government (linguistics)', 'SAFER', 'Profitability index', 'Subsidiary']",https://doi.org/10.1002/sd.71675
"Solvothermal synthesis and multifunctional characterization of a two-dimensional Mn(II) coordination polymer with dibromoterephthalate linkers: Dielectric, BET, and hirshfeld surface studies",2026,0,Next Materials,article,Metal-Organic Frameworks: Synthesis and Applications,"['Solvothermal synthesis', 'Octahedron', 'Crystal structure', 'Coordination polymer', 'Thermal decomposition', 'Dielectric', 'Coordination number', 'Perovskite (structure)', 'Coordination complex']",https://doi.org/10.1016/j.nxmate.2026.103562
Interfacial engineering of HA-coated PEEK through microstructure control and sulfonate functionalization for improved cytocompatibility and antibacterial activity,2026,0,Journal of the Taiwan Institute of Chemical Engineers,article,biodegradable polymer synthesis and properties,"['Surface modification', 'Peek', 'Sulfonate', 'Biomaterial', 'Microstructure', 'Hydrothermal circulation', 'Antibacterial activity']",https://doi.org/10.1016/j.jtice.2026.107004
Harnessing endogenous carbon monoxide for cancer-selective drug synthesis,2026,0,Nature Communications,article,Heme Oxygenase-1 and Carbon Monoxide,"['Intracellular', 'Endogeny', 'Glutathione', 'Cancer cell', 'Cytotoxicity', 'Carbon monoxide', 'Drug discovery']",https://doi.org/10.1038/s41467-026-77616-8
"Safety and Quality of Locally Processed Dark and White Chocolate Bars: A Case Study of Small-Scale Industries in West Java, Indonesia",2026,0,,article,Heavy metals in environment,"['Food safety', 'Salmonella', 'Quality (philosophy)', 'Cadmium', 'Food contaminant', 'Java']",https://doi.org/10.69739/jfsh.v1i2.2149
Optimization of Dielectric Constant and Electrical Resistance of Mycelium/Epoxy Composites Reinforced with Three Different Natural Fibers and Nano hBN,2026,0,Journal of Natural Fibers,article,Plant and Biological Electrophysiology Studies,"['Dielectric', 'Epoxy', 'Nano-', 'Electrical resistance and conductance', 'Composite number', 'Fiber', 'Filler (materials)', 'Permittivity']",https://doi.org/10.1080/15440478.2026.2734680
Rapid and Efficient Organic‐Aqueous Two‐Phase Extraction of High‐Purity Semiconducting Single‐Walled Carbon Nanotubes,2026,0,Small,article,Carbon Nanotubes in Composites,"['Carbon nanotube', 'Extraction (chemistry)', 'Yield (engineering)', 'Transistor', 'Metal', 'Nanotube']",https://doi.org/10.1002/smll.75843
Mechanochemical Hydrazone Synthesis From Isoniazid and Isophthalaldehyde: Kinetics and Process Optimization of a Competitive‐Consecutive Reaction,2026,0,Chemistry - A European Journal,article,Crystallography and molecular interactions,"['Mechanochemistry', 'Kinetics', 'Catalysis', 'Hydrazone', 'Mixing (physics)', 'Ball mill', 'Chemical kinetics', 'Selectivity']",https://doi.org/10.1002/chem.71700
"Spatio-Temporal Dynamics and Source Apportionment of Nutrient Loading in a High-Altitude Fragile River: A Case Study of the Niyang River, Qinghai-Tibet Plateau",2026,0,Polish Journal of Environmental Studies,article,Soil and Water Nutrient Dynamics,"['Pollution', 'Tributary', 'Water quality', 'Ecosystem', 'Nutrient', 'Nutrient pollution', 'Hydrology (agriculture)', 'Climate change', 'Dry season', 'Dilution']",https://doi.org/10.15244/pjoes/231132
"Nanoarchitectonics of phenolic acid-functionalized gold nanoparticles: A bioinspired nanoplatform for erythrocyte membrane and protein protection, bacterial and cancerous cellular toxicity",2026,0,Scientific Reports,article,Nanoparticles: synthesis and applications,"['Colloidal gold', 'Antioxidant', 'DPPH', 'Membrane', 'Escherichia coli', 'Ferulic acid', 'Absorption (acoustics)', 'Transmission electron microscopy', 'Reactive oxygen species']",https://doi.org/10.1038/s41598-026-72149-y
"Comparative Synthesis, Spectroscopic Characterization and Concentration-Dependent Antimicrobial Profiling of 8-Substituted 2,5-Dihydro-1,5-Benzothiazepines",2026,0,,article,Phenothiazines and Benzothiazines Synthesis and Activities,"['Antimicrobial', 'Staphylococcus aureus', 'Candida albicans', 'Escherichia coli', 'Antibacterial activity', 'Chalcone']",https://doi.org/10.64978/jasae.2026.09170105
Mitigation of drought and cadmium stress in wheat (Triticum aestivum) through blue-red LED light and ginger-mediated ZnO nanoparticles,2026,0,Scientific Reports,article,Light effects on plants,"['Cadmium', 'Sowing', 'Shoot', 'Zingiber officinale', 'Light intensity', 'photoperiodism', 'Moisture', 'Water content']",https://doi.org/10.1038/s41598-026-70243-9
Revisiting molecular descriptors with TDiMS for interpretable intramolecular interactions based on substructure pairs,2026,0,Nature Computational Science,article,Machine Learning in Materials Science,"['Intramolecular force', 'Pairwise comparison', 'Substructure', 'Property (philosophy)', 'Molecular descriptor', 'Pattern recognition (psychology)']",https://doi.org/10.1038/s43588-026-01036-3
Managing soil contamination risks: Microbiome and agricultural practices: a review,2026,0,International Agrophysics,article,Fecal contamination and water quality,"['Agriculture', 'Microbiome', 'Contamination', 'Soil contamination', 'Soil water', 'Soil ecology', 'Food contaminant']",https://doi.org/10.31545/intagr/226576
Spatial Control of Spontaneous Orientation Polarization for Efficient Charge Separation in Organic Photovoltaics,2026,0,Advanced Optical Materials,article,Organic Electronics and Photovoltaics,"['Organic solar cell', 'Photocurrent', 'Heterojunction', 'Photovoltaics', 'Active layer', 'Exciton', 'Polarization (electrochemistry)', 'Decoupling (probability)', 'Electric field']",https://doi.org/10.1002/adom.71807
"Nano zinc supplementation in broiler nutrition: current evidence, mechanisms of action, and future perspectives",2026,0,Frontiers in Veterinary Science,article,Animal Nutrition and Physiology,"['Zinc', 'Bioavailability', 'Broiler', 'Immune system', 'Antioxidant', 'Gut flora']",https://doi.org/10.3389/fvets.2026.1925519
Geometry-engineered ion transport enables over 4000-h salt-free solar evaporation using Janus electrospun membranes,2026,0,npj Clean Water,article,Solar-Powered Water Purification Methods,"['Evaporation', 'Janus', 'Desalination', 'Membrane', 'Polyacrylonitrile', 'Wetting', 'Absorption (acoustics)', 'Water transport']",https://doi.org/10.1038/s41545-026-00633-z
Near‐Infrared Carbon Dots: From Precursors and Synthesis to Luminescence Mechanisms and Multifunctional Applications,2026,0,Small,article,Carbon and Quantum Dots Applications,"['Rational design', 'Nanomaterials', 'Transparency (behavior)', 'Nonlinear optical', 'Carbon fibers', 'Luminescence']",https://doi.org/10.1002/smll.75772
Enzyme-mimicking peripheral substituents beyond the second coordination sphere tune single-atom catalysts for periodate activation,2026,0,Nature Communications,article,Metal-Catalyzed Oxygenation Mechanisms,"['Periodate', 'Catalysis', 'Reactivity (psychology)', 'Adsorption', 'Galvanic cell', 'Electrochemistry', 'Pollutant', 'Degradation (telecommunications)']",https://doi.org/10.1038/s41467-026-77805-5
"A comprehensive review of the taxonomy, pathogenesis, and therapeutic challenges of Malassezia pachydermatis in companion animals",2026,0,Polish Journal of Veterinary Sciences,article,Nail Diseases and Treatments,"['Malassezia', 'Antifungal', 'Context (archaeology)', 'Antifungal drugs', 'Otitis', 'Antibiotic resistance']",https://doi.org/10.24425/pjvs.2026.3615
Sulfur‐Rich Vitrimers From Oligosulfides and Epoxy Cross‐Linkers With Tunable Mechanical Properties and Adhesive Performance,2026,0,Journal of Applied Polymer Science,article,Polymer composites and self-healing,"['Epoxy', 'Diglycidyl ether', 'Adhesive', 'Thermosetting polymer', 'Bisphenol A', 'Diethylene glycol', 'Ultimate tensile strength', 'Polymer']",https://doi.org/10.1002/app.71516
Analysis of Dynamic Mechanical Responses of Carbon Black Filled Natural Rubber Composites Using Shear and Tensile Testing,2026,0,Macromolecular Symposia,article,Polymer Nanocomposites and Properties,"['Natural rubber', 'Carbon black', 'Viscoelasticity', 'Dynamic mechanical analysis', 'Ultimate tensile strength', 'Dynamic modulus', 'Time–temperature superposition', 'Modulus', 'Vulcanization']",https://doi.org/10.1002/masy.70481
"Unveiling adolescents’ climate agency modes and their personal, behavioral, and environmental determinants: a qualitative study",2026,0,Frontiers in Psychology,article,Climate Change Communication and Perception,"['Agency (philosophy)', 'Salient', 'Focus group', 'Qualitative research', 'Grounded theory', 'Causation', 'Action (physics)', 'Sense of agency', 'Climate change']",https://doi.org/10.3389/fpsyg.2026.1882370
Zeolitic Imidazolate Framework-8 (ZIF-8) as a versatile platform for targeted cancer drug delivery: A brief review,2026,0,Next Nanotechnology,article,Metal-Organic Frameworks: Synthesis and Applications,"['Zeolitic imidazolate framework', 'Nanocarriers', 'Drug delivery', 'Nanomedicine', 'Drug', 'Cancer therapy', 'Imidazolate']",https://doi.org/10.1016/j.nxnano.2026.100787
